         cycles        counter    temperature          E avg       Heat cap          M avg      Magn susp      M avg abs     E variance     M variance              E
              1        3940413      2.0000000     -1.7456052     0.74970129     0.91137211     0.38275006     0.91137211      2.9988052     0.76550012     -17704.000
              1        4004305      2.0050000     -1.7423765     0.74664587     0.90999471     0.38916546     0.90999471      3.0015351     0.78027674     -17536.000
              1        4071503      2.0100000     -1.7386143     0.76511477     0.90819130     0.43012939     0.90819130      3.0911402     0.86456008     -17216.000
              1        4139079      2.0150000     -1.7345254     0.79341342     0.90632079     0.43957943     0.90632079      3.2214370     0.88575256     -17500.000
              1        4201243      2.0200000     -1.7307894     0.78158488     0.90441400     0.46289644     0.90441400      3.1891790     0.93505080     -17340.000
              1        4288454      2.0250000     -1.7265480     0.81266850     0.90213306     0.50987498     0.90213306      3.3324488      1.0324968     -17564.000
              1        4351866      2.0300000     -1.7230645     0.80553183     0.90096916     0.45881951     0.90096916      3.3195161     0.93140361     -17268.000
              1        4429789      2.0350000     -1.7190167     0.82198077     0.89883734     0.53921451     0.89883734      3.4040073      1.0973015     -17096.000
              1        4484093      2.0400000     -1.7151661     0.85066868     0.89705663     0.53496466     0.89705663      3.5401428      1.0913279     -17052.000
              1        4551730      2.0450000     -1.7106398     0.83585219     0.89436558     0.57005465     0.89436558      3.4955547      1.1657618     -17104.000
              1        4636921      2.0500000     -1.7078857     0.85379675     0.89344541     0.58610441     0.89344541      3.5880808      1.2015140     -17384.000
              1        4701079      2.0550000     -1.7026114     0.87367166     0.89029555     0.65600588     0.89029555      3.6895373      1.3480921     -17176.000
              1        4789835      2.0600000     -1.6979697     0.89297902     0.88781153     0.69279917     0.88781153      3.7894458      1.4271663     -17228.000
              1        4855328      2.0650000     -1.6944494     0.88977966     0.88632521     0.68591094     0.88632521      3.7942207      1.4164061     -16904.000
              1        4930831      2.0700000     -1.6897960     0.89908592     0.88393544     0.70437096     0.88393544      3.8524933      1.4580479     -16980.000
              1        5006361      2.0750000     -1.6854435     0.91318849     0.88153018     0.73973460     0.88153018      3.9318472      1.5349493     -17200.000
