         cycles        counter    temperature          E avg       Heat cap          M avg      Magn susp      M avg abs     E variance     M variance              E
              1         626097      2.0000000     -1.7461488     0.74706290     0.91177288     0.36816941     0.91177288      2.9882516     0.73633881     -2808.0000
              1         647493      2.0050000     -1.7410643     0.73624612     0.90906481     0.41620713     0.90906481      2.9597278     0.83449530     -2872.0000
              1         654129      2.0100000     -1.7373131     0.75186001     0.90715856     0.50038885     0.90715856      3.0375896      1.0057816     -2728.0000
              1         659172      2.0150000     -1.7340019     0.74943568     0.90590681     0.44102391     0.90590681      3.0428775     0.88866318     -2720.0000
              1         675210      2.0200000     -1.7293220     0.77312604     0.90400225     0.43800443     0.90400225      3.1546635     0.88476894     -2864.0000
              1         675007      2.0250000     -1.7270857     0.80207808     0.90160400     0.63404049     0.90160400      3.2890214      1.2839320     -2712.0000
              1         701177      2.0300000     -1.7229059     0.79172097     0.90026088     0.50177419     0.90026088      3.2626029      1.0186016     -2664.0000
              1         704499      2.0350000     -1.7179721     0.77130797     0.89806369     0.48455982     0.89806369      3.1941599     0.98607924     -2636.0000
              1         715859      2.0400000     -1.7152502     0.82042935     0.89732463     0.49959034     0.89732463      3.4142988      1.0191643     -2732.0000
              1         734846      2.0450000     -1.7101717     0.83559921     0.89429381     0.54345316     0.89429381      3.4944968      1.1113617     -2640.0000
              1         744962      2.0500000     -1.7090155     0.80020541     0.89416025     0.55868730     0.89416025      3.3628632      1.1453090     -2828.0000
              1         753789      2.0550000     -1.7031969     0.86281386     0.89069581     0.62077310     0.89069581      3.6436845      1.2756887     -2680.0000
              1         767698      2.0600000     -1.6989080     0.81713900     0.88881475     0.57850912     0.88881475      3.4676111      1.1917288     -2648.0000
              1         780250      2.0650000     -1.6925258     0.86163487     0.88417888     0.70739501     0.88417888      3.6742049      1.4607707     -2764.0000
              1         785018      2.0700000     -1.6898815     0.90444970     0.88347644     0.71599838     0.88347644      3.8754765      1.4821166     -2668.0000
              1         794051      2.0750000     -1.6833321     0.89423501     0.87981925     0.75565445     0.87981925      3.8502406      1.5679830     -2756.0000
              1         821338      2.0800000     -1.6816468     0.90651700     0.87960256     0.75904310     0.87960256      3.9219551      1.5788096     -2604.0000
              1         825133      2.0850000     -1.6747066     0.93865530     0.87600569     0.79584239     0.87600569      4.0805458      1.6593314     -2552.0000
              1         836589      2.0900000     -1.6713275     0.90818305     0.87451456     0.71706643     0.87451456      3.9670344      1.4986688     -2828.0000
              1         850023      2.0950000     -1.6678881     0.92327897     0.87255025     0.79824664     0.87255025      4.0522945      1.6723267     -2732.0000
              1         862425      2.1000000     -1.6621550     0.98251124     0.86835256     0.95321947     0.86835256      4.3328746      2.0017609     -2784.0000
              1         867069      2.1050000     -1.6588291     0.97830050     0.86694625     0.97861788     0.86694625      4.3348740      2.0599906     -2656.0000
              1         894270      2.1100000     -1.6546116     0.99045870     0.86468937     0.96319318     0.86468937      4.4096212      2.0323376     -2672.0000
              1         895062      2.1150000     -1.6502276     0.96997370     0.86352187     0.87723534     0.86352187      4.3389106      1.8553527     -2536.0000
              1         930617      2.1200000     -1.6407578      1.0237167     0.85630144      1.1382325     0.85630144      4.6009923      2.4130529     -2764.0000
              1         939431      2.1250000     -1.6366261      1.0613947     0.85266194      1.3150714     0.85266194      4.7928606      2.7945267     -2640.0000
              1         951032      2.1300000     -1.6300064      1.0566474     0.84863419      1.2439288     0.84863419      4.7939034      2.6495684     -2748.0000
              1         962974      2.1350000     -1.6283953      1.0869798     0.84977706      1.1961766     0.84977706      4.9546986      2.5538371     -2608.0000
              1         982169      2.1400000     -1.6217374      1.1026913     0.84417819      1.5020576     0.84417819      5.0498849      3.2144033     -2488.0000
              1        1006171      2.1450000     -1.6156162      1.1363458     0.83988781      1.8590249     0.83988781      5.2283554      3.9876085     -2472.0000
              1         999759      2.1500000     -1.6101981      1.1215677     0.83714525      1.4940387     0.83714525      5.1844467      3.2121831     -2744.0000
