         cycles        counter    temperature          E avg       Heat cap          M avg      Magn susp      M avg abs     E variance     M variance              E
              1        7127278      2.0000000     -1.7457002     0.72961614     0.91132965     0.38659402     0.91132965      2.9184646     0.77318803     -6312.0000
              1        7223696      2.0050000     -1.7421292     0.73057480     0.90982899     0.38914728     0.90982899      2.9369290     0.78024030     -6332.0000
              1        7343394      2.0100000     -1.7383783     0.74190063     0.90807349     0.41949893     0.90807349      2.9973527     0.84319284     -6304.0000
              1        7504144      2.0150000     -1.7343584     0.75009355     0.90605950     0.42825313     0.90605950      3.0455486     0.86293006     -6340.0000
              1        7573849      2.0200000     -1.7308893     0.75735593     0.90467093     0.44002570     0.90467093      3.0903152     0.88885191     -6236.0000
              1        7734725      2.0250000     -1.7265933     0.78157396     0.90233381     0.47554666     0.90233381      3.2049417     0.96298199     -6232.0000
              1        7835445      2.0300000     -1.7227125     0.79716995     0.90062001     0.48408183     0.90062001      3.2850576     0.98268612     -6216.0000
              1        7929793      2.0350000     -1.7191326     0.80107505     0.89881814     0.52043371     0.89881814      3.3174320      1.0590826     -6244.0000
              1        8054432      2.0400000     -1.7152663     0.80883767     0.89709584     0.53525240     0.89709584      3.3660589      1.0919149     -6112.0000
              1        8204816      2.0450000     -1.7107836     0.82898503     0.89477128     0.55200020     0.89477128      3.4668361      1.1288404     -6036.0000
              1        8307968      2.0500000     -1.7070723     0.81983598     0.89319403     0.54786677     0.89319403      3.4453607      1.1231269     -5896.0000
              1        8464594      2.0550000     -1.7028737     0.83557756     0.89093442     0.57519420     0.89093442      3.5286649      1.1820241     -6216.0000
              1        8585099      2.0600000     -1.6983871     0.85362738     0.88817767     0.68724202     0.88817767      3.6224532      1.4157186     -6176.0000
              1        8751783      2.0650000     -1.6941048     0.86970661     0.88627912     0.66714367     0.88627912      3.7086247      1.3776517     -6160.0000
              1        8866877      2.0700000     -1.6891874     0.90775202     0.88330681     0.76153449     0.88330681      3.8896266      1.5763764     -6168.0000
              1        9049264      2.0750000     -1.6847885     0.89913266     0.88087924     0.77134837     0.88087924      3.8713281      1.6005479     -5960.0000
              1        9120659      2.0800000     -1.6810192     0.89877202     0.87960307     0.73523059     0.87960307      3.8884473      1.5292796     -6112.0000
              1        9265116      2.0850000     -1.6763762     0.92336319     0.87666088     0.79191178     0.87666088      4.0140676      1.6511361     -5884.0000
              1        9422802      2.0900000     -1.6717376     0.94863533     0.87424629     0.88278485     0.87424629      4.1437340      1.8450203     -6028.0000
              1        9584601      2.0950000     -1.6671645     0.96068565     0.87162792     0.93783924     0.87162792      4.2164733      1.9647732     -5960.0000
              1        9710855      2.1000000     -1.6624882     0.95681834     0.86926645     0.91449984     0.86926645      4.2195689      1.9204497     -5964.0000
              1        9918623      2.1050000     -1.6569800     0.96347978     0.86573116     0.97205582     0.86573116      4.2692030      2.0461775     -6232.0000
              1       10015518      2.1100000     -1.6525112     0.99925620     0.86363624      1.0205070     0.86363624      4.4487885      2.1532698     -6084.0000
              1       10199369      2.1150000     -1.6477190      1.0067547     0.86070131      1.0425447     0.86070131      4.5034402      2.2049820     -5956.0000
              1       10422145      2.1200000     -1.6421853      1.0287183     0.85746881      1.1427684     0.85746881      4.6234714      2.4226690     -5848.0000
              1       10638407      2.1250000     -1.6361392      1.0562620     0.85219787      1.5301036     0.85219787      4.7696830      3.2514701     -5960.0000
              1       10724695      2.1300000     -1.6320206      1.0693622     0.85057201      1.3787844     0.85057201      4.8515896      2.9368108     -5792.0000
              1       10938106      2.1350000     -1.6257496      1.1096906     0.84611646      1.5722469     0.84611646      5.0582194      3.3567471     -5832.0000
              1       11104908      2.1400000     -1.6208264      1.1006468     0.84360864      1.4226921     0.84360864      5.0405222      3.0445611     -5940.0000
              1       11250323      2.1450000     -1.6160322      1.1071689     0.84030740      1.6183499     0.84030740      5.0941117      3.4713606     -5600.0000
              1       11433207      2.1500000     -1.6094930      1.1515378     0.83507104      1.8651677     0.83507104      5.3229837      4.0101106     -5564.0000
