         cycles        counter    temperature          E avg       Heat cap          M avg      Magn susp      M avg abs     E variance     M variance              E
              1       12642455      2.0000000     -1.7459836     0.72710572     0.91152246     0.38923992     0.91152246      2.9084229     0.77847984     -11288.000
              1       12829182      2.0050000     -1.7422461     0.73708463     0.90976226     0.40263932     0.90976226      2.9630986     0.80729184     -11260.000
              1       13111420      2.0100000     -1.7379553     0.76561793     0.90781024     0.42466141     0.90781024      3.0931730     0.85356944     -11228.000
              1       13266901      2.0150000     -1.7346275     0.76131500     0.90624008     0.43235941     0.90624008      3.0911102     0.87120422     -11372.000
              1       13458573      2.0200000     -1.7308592     0.76477661     0.90448897     0.45583408     0.90448897      3.1205945     0.92078483     -11100.000
              1       13669349      2.0250000     -1.7270300     0.77705143     0.90265674     0.47040514     0.90265674      3.1863965     0.95257040     -11296.000
              1       13876417      2.0300000     -1.7230508     0.78430057     0.90085619     0.47450257     0.90085619      3.2320242     0.96324022     -11200.000
              1       14151472      2.0350000     -1.7188080     0.79675020     0.89869092     0.51364620     0.89869092      3.2995219      1.0452700     -11188.000
              1       14344089      2.0400000     -1.7151422     0.80099703     0.89711777     0.50355207     0.89711777      3.3334292      1.0272462     -10900.000
              1       14569828      2.0450000     -1.7112022     0.80818959     0.89502878     0.54862999     0.89502878      3.3798691      1.1219483     -10772.000
              1       14820167      2.0500000     -1.7064648     0.83621688     0.89226397     0.67740968     0.89226397      3.5142015      1.3886898     -10700.000
              1       15005664      2.0550000     -1.7029465     0.85193483     0.89100588     0.59473638     0.89100588      3.5977421      1.2221833     -10772.000
              1       15282179      2.0600000     -1.6981602     0.87533812     0.88835406     0.64249207     0.88835406      3.7145849      1.3235337     -10780.000
              1       15543002      2.0650000     -1.6942543     0.86428206     0.88632985     0.68025909     0.88632985      3.6854932      1.4047350     -11068.000
              1       15757577      2.0700000     -1.6896816     0.86489688     0.88370063     0.69724147     0.88370063      3.7059966      1.4432898     -10640.000
              1       16036408      2.0750000     -1.6848909     0.90064078     0.88127878     0.74817720     0.88127878      3.8778214      1.5524677     -10884.000
              1       16253295      2.0800000     -1.6811585     0.90895839     0.87937512     0.76846914     0.87937512      3.9325176      1.5984158     -10720.000
              1       16546846      2.0850000     -1.6764379     0.94117209     0.87679354     0.83801560     0.87679354      4.0914868      1.7472625     -10748.000
              1       16781240      2.0900000     -1.6717947     0.94795506     0.87404924     0.91015909     0.87404924      4.1407625      1.9022325     -10376.000
              1       17069514      2.0950000     -1.6672091     0.95662375     0.87176872     0.87392835     0.87176872      4.1986456      1.8308799     -10716.000
              1       17344314      2.1000000     -1.6620658     0.97876403     0.86880737     0.95100306     0.86880737      4.3163494      1.9971064     -10468.000
              1       17599503      2.1050000     -1.6572953     0.98189720     0.86638812     0.95225103     0.86638812      4.3508110      2.0044884     -10848.000
              1       17940018      2.1100000     -1.6519726     0.99967565     0.86260190      1.0914280     0.86260190      4.4506560      2.3029131     -10776.000
              1       18161475      2.1150000     -1.6474523      1.0221324     0.86027258      1.1647080     0.86027258      4.5722283      2.4633575     -10616.000
              1       18477824      2.1200000     -1.6420183      1.0366850     0.85668376      1.2149336     0.85668376      4.6592773      2.5756592     -10388.000
              1       18756521      2.1250000     -1.6367690      1.0571707     0.85305643      1.3483058     0.85305643      4.7737865      2.8651499     -10680.000
              1       19070792      2.1300000     -1.6318797      1.0744450     0.85053026      1.3208291     0.85053026      4.8746497      2.8133659     -10460.000
              1       19384443      2.1350000     -1.6267088      1.0754611     0.84748031      1.4070949     0.84748031      4.9021938      3.0041477     -10368.000
              1       19736141      2.1400000     -1.6212568      1.0816005     0.84414791      1.4221123     0.84414791      4.9532978      3.0433204     -10340.000
              1       20059605      2.1450000     -1.6151864      1.1433196     0.83947116      1.6885841     0.83947116      5.2604420      3.6220130     -10316.000
              1       20367345      2.1500000     -1.6096944      1.1379412     0.83629060      1.6182004     0.83629060      5.2601333      3.4791310     -10240.000
              1       20734390      2.1550000     -1.6037028      1.1701129     0.83110121      2.0533470     0.83110121      5.4340336      4.4249627     -9952.0000
              1       20980311      2.1600000     -1.5985307      1.1892792     0.82830858      2.0181644     0.82830858      5.5487010      4.3592351     -10440.000
              1       21354968      2.1650000     -1.5921929      1.2194866     0.82304784      2.2865557     0.82304784      5.7160082      4.9503930     -9992.0000
              1       21808680      2.1700000     -1.5856694      1.2247750     0.81790294      2.3664187     0.81790294      5.7673432      5.1351285     -10224.000
              1       22051905      2.1750000     -1.5802481      1.2942957     0.81370960      3.0382547     0.81370960      6.1228277      6.6082040     -10136.000
              1       22407965      2.1800000     -1.5726499      1.3048895     0.80817119      2.8633183     0.80817119      6.2013567      6.2420338     -9936.0000
              1       22841241      2.1850000     -1.5670183      1.3418052     0.80267299      3.4450894     0.80267299      6.4060798      7.5275202     -10040.000
              1       23217765      2.1900000     -1.5602168      1.3660399     0.79775564      3.3710724     0.79775564      6.5516639      7.3826485     -9952.0000
              1       23550424      2.1950000     -1.5541544      1.3820343     0.79269611      3.9045148     0.79269611      6.6586756      8.5704099     -9588.0000
              1       24038207      2.2000000     -1.5462915      1.4578511     0.78379502      5.4184952     0.78379502      7.0559991      11.920689     -10096.000
              1       24506825      2.2050000     -1.5372563      1.5074912     0.77250609      6.4333693     0.77250609      7.3294597      14.185579     -10212.000
              1       24865110      2.2100000     -1.5330114      1.5401057     0.77168444      6.3744248     0.77168444      7.5220300      14.087479     -9852.0000
              1       25505345      2.2150000     -1.5240654      1.5117009     0.76109459      6.9733836     0.76109459      7.4167445      15.446045     -9980.0000
              1       25828593      2.2200000     -1.5177790      1.6669944     0.75509022      9.1952412     0.75509022      8.2156152      20.413435     -9832.0000
              1       26435336      2.2250000     -1.5093204      1.6607565     0.74510771      10.234257     0.74510771      8.2217828      22.771222     -9704.0000
              1       26637432      2.2300000     -1.5017802      1.6711942     0.73691525      11.938086     0.73691525      8.3106815      26.621933     -9288.0000
              1       27294948      2.2350000     -1.4923989      1.8510724     0.72325485      14.961747     0.72325485      9.2465229      33.439505     -8940.0000
              1       27718175      2.2400000     -1.4833347      1.8008180     0.71303035      12.214225     0.71303035      9.0357845      27.359865     -9208.0000
              1       28364845      2.2450000     -1.4725606      1.9426178     0.69230703      25.329548     0.69230703      9.7908425      56.864836     -9228.0000
              1       29430953      2.2500000     -1.4622481      1.9464407     0.67567076      22.441774     0.67567076      9.8538563      50.493992     -9476.0000
              1       29357950      2.2550000     -1.4535126      2.0645822     0.66150727      30.510146     0.66150727      10.498452      68.800380     -9492.0000
              1       29900208      2.2600000     -1.4459322      2.1062291     0.65102096      30.019703     0.65102096      10.757776      67.844528     -9572.0000
              1       30284369      2.2650000     -1.4315061      2.3982205     0.31393598      814.31062     0.59964933      12.303411      1844.4136     -9532.0000
              1       31618356      2.2700000     -1.4176850      2.4585245     0.54475658      127.66124     0.55386107      12.668531      289.79101     -9004.0000
              1       32118722      2.2750000     -1.4021483      2.6238558     0.38786094      398.97915     0.49659790      13.580093      907.67757     -8908.0000
              1       32676564      2.2800000     -1.3961395      2.5694607     0.36477688      439.00791     0.49450088      13.357084      1000.9380     -8872.0000
              1       33834717      2.2850000     -1.3826138      2.3548164     0.23267678      552.91195     0.46503353      12.295026      1263.4038     -8664.0000
              1       34428737      2.2900000     -1.3641866      2.2543598     0.14541461      494.37358     0.39903128      11.822088      1132.1155     -8468.0000
              1       34469824      2.2950000     -1.3664406      2.2400920    0.088133328      626.26266     0.44685733      11.798620      1437.2728     -8532.0000
              1       35494647      2.3000000     -1.3521087      2.2535928     0.16394592      458.77582     0.39205583      11.921506      1055.1844     -8644.0000
              1       36475057      2.3050000     -1.3424818      2.1785460   -0.066811847      457.19018     0.36185020      11.574670      1053.8234     -8408.0000
              1       36906720      2.3100000     -1.3336682      2.0365057    0.044170813      418.26460     0.34617766      10.866998      966.19121     -8396.0000
              1       37236834      2.3150000     -1.3259212      1.8814709    0.042513288      398.07848     0.33881271      10.083226      921.55168     -8284.0000
              1       37876613      2.3200000     -1.3121492      1.7758603     0.13113461      241.45913     0.27296882      9.5583905      560.18519     -8692.0000
              1       38860297      2.3250000     -1.3000053      1.6769445    0.023728597      221.03807     0.23702977      9.0649332      513.91351     -8112.0000
              1       39023983      2.3300000     -1.2947470      1.6770183  -0.0089019125      233.32427     0.24696063      9.1043645      543.64556     -8052.0000
              1       39923658      2.3350000     -1.2889336      1.6943866    0.048057425      208.50041     0.23172314      9.2381771      486.84845     -8328.0000
              1       40149289      2.3400000     -1.2830849      1.5584638    0.030482984      195.10876     0.22205642      8.5335245      456.55449     -8144.0000
              1       40816788      2.3450000     -1.2709431      1.4881117    0.010606844      141.20087     0.18382632      8.1831637      331.11604     -8144.0000
              1       40944188      2.3500000     -1.2666797      1.5048758    0.040951353      165.32772     0.20324817      8.3106765      388.52014     -8232.0000
              1       41513520      2.3550000     -1.2581926      1.4262441    0.015741619      130.54500     0.18005112      7.9099856      307.43347     -8084.0000
              1       41591995      2.3600000     -1.2542949      1.4824280    0.043798688      138.74691     0.18798426      8.2565312      327.44271     -7968.0000
              1       42420774      2.3650000     -1.2458713      1.4143762    0.061504994      110.21640     0.16931284      7.9109245      260.66178     -8084.0000
              1       42686380      2.3700000     -1.2399765      1.4135155    0.017494184      109.72073     0.16187214      7.9395752      260.03812     -7544.0000
              1       43310802      2.3750000     -1.2341956      1.3730095   -0.012839184      99.815966     0.15371811      7.7446318      237.06292     -8204.0000
              1       43557618      2.3800000     -1.2270246      1.2910582   -0.019951553      83.072402     0.14044275      7.3130698      197.71232     -7608.0000
              1       44036442      2.3850000     -1.2205486      1.3138633    0.025072809      80.968681     0.14029775      7.4735499      193.11030     -7852.0000
              1       44175447      2.3900000     -1.2155441      1.2955928    0.013467197      76.563887     0.13497433      7.4005555      182.98769     -8272.0000
              1       44632570      2.3950000     -1.2108251      1.2380429   0.0055174813      75.491255     0.13536242      7.1014449      180.80156     -7760.0000
              1       45132497      2.4000000     -1.2049980      1.2368968   0.0051899781      68.101043     0.12566732      7.1245254      163.44250     -7816.0000
