         cycles        counter    temperature          E avg       Heat cap          M avg      Magn susp      M avg abs     E variance     M variance              E
              1        7164568      2.2500000     -1.4632561      1.9027765    0.041788138      345.26874     0.67828961      9.6328058      776.85467     -2428.0000
              1        7243044      2.2550000     -1.4559598      1.9002206     0.42404009      212.95185     0.67715821      9.6626691      480.20641     -2388.0000
              1        7560885      2.2600000     -1.4440687      1.8983889    0.089604313      317.51927     0.65704664      9.6962113      717.59355     -2164.0000
              1        7651710      2.2650000     -1.4299804      2.0055267     0.29845445      236.90032     0.62593978      10.288803      536.57923     -2424.0000
              1        7744684      2.2700000     -1.4332810      1.8955414     0.36449716      222.13454     0.65153371      9.7675350      504.24541     -2396.0000
              1        7937502      2.2750000     -1.4192225      1.9996436     0.45509479      146.18019     0.61881409      10.349405      332.55994     -2160.0000
              1        7966575      2.2800000     -1.4068046      2.0809356     0.45097490      131.39322     0.59566470      10.817536      299.57655     -2052.0000
              1        8062213      2.2850000     -1.4037228      1.9610143     0.30909329      207.74508     0.60146949      10.238897      474.69752     -2328.0000
              1        8465750      2.2900000     -1.3891167      2.0439656     0.15779729      236.26144     0.57162929      10.718760      541.03869     -2188.0000
              1        8494575      2.2950000     -1.3837930      1.9706148     0.11941745      240.93279     0.57011385      10.379277      552.94076     -2300.0000
              1        8627064      2.3000000     -1.3695080      2.0290620    0.090971863      220.36116     0.52896809      10.733738      506.83068     -2296.0000
              1        8784988      2.3050000     -1.3585605      2.0339083    0.025617738      211.63199     0.51082206      10.806206      487.81173     -2100.0000
              1        8926943      2.3100000     -1.3552118      1.9777080   -0.030701763      213.41550     0.51687681      10.553248      492.98980     -2060.0000
              1        9154284      2.3150000     -1.3409217      1.9353366     0.28932019      132.81809     0.47996619      10.371904      307.47387     -1860.0000
              1        9216553      2.3200000     -1.3252321      1.8768303   -0.052955688      164.32124     0.44158019      10.101852      381.22527     -2100.0000
              1        9423930      2.3250000     -1.3221062      1.8793455    0.061022213      166.89987     0.44883274      10.159037      388.04219     -1900.0000
              1        9603929      2.3300000     -1.3052723      1.8034020    0.052768338      137.51117     0.39654784      9.7904892      320.40102     -2100.0000
              1        9673127      2.3350000     -1.3026156      1.7968201   0.0025212000      144.84956     0.40998750      9.7966677      338.22372     -2080.0000
              1       10037136      2.3400000     -1.2861042      1.6160055    0.048750463      118.98700     0.36808071      8.8486000      278.42959     -2124.0000
              1        9984114      2.3450000     -1.2845725      1.6635565   0.0063680875      121.13744     0.36726716      9.1479387      284.06729     -2032.0000
              1        9969400      2.3500000     -1.2783153      1.6408306    0.021188238      118.46384     0.36254721      9.0614871      278.39002     -1848.0000
              1       10171436      2.3550000     -1.2708561      1.6218310   -0.046234225      111.14301     0.35329768      8.9947151      261.74179     -2280.0000
              1       10354216      2.3600000     -1.2608216      1.5024832   -0.024901438      101.98658     0.33497499      8.3682303      240.68832     -2080.0000
              1       10232303      2.3650000     -1.2585744      1.5456754    0.084504988      98.280245     0.33758266      8.6453104      232.43278     -2016.0000
              1       10568308      2.3700000     -1.2495596      1.4827804    0.014956663      94.117585     0.31967304      8.3286290      223.05868     -1964.0000
              1       10620142      2.3750000     -1.2404825      1.4098290    0.053020038      84.262932     0.30326439      7.9523168      200.12446     -2068.0000
              1       10810542      2.3800000     -1.2329510      1.3080876    0.024408075      79.573487     0.29549388      7.4095314      189.38490     -2024.0000
              1       10933715      2.3850000     -1.2225835      1.2845313    0.019616313      68.620189     0.26855031      7.3067032      163.65915     -1824.0000
              1       11105168      2.3900000     -1.2173137      1.3210489    0.026151350      66.375877     0.26129583      7.5459632      158.63835     -2088.0000
              1       11108200      2.3950000     -1.2172192      1.3193159  -0.0033452250      73.050581     0.27853745      7.5676289      174.95614     -2024.0000
              1       11198137      2.4000000     -1.2054442      1.2127133  -0.0098613250      60.680639     0.25171653      6.9852288      145.63353     -1840.0000
