         cycles        counter    temperature          E avg       Heat cap          M avg      Magn susp      M avg abs     E variance     M variance              E
              1        3225374      2.2500000     -1.4709642      1.8348750     0.70337167      11.660581     0.70337167      9.2890548      26.236307     -5352.0000
              1        3310417      2.2550000     -1.4589654      1.8222337     0.68343314      12.097504     0.68343314      9.2661038      27.279872     -5512.0000
              1        3410432      2.2600000     -1.4548716      1.9320786     0.67753144      18.016467     0.67753144      9.8682846      40.717216     -5188.0000
              1        3409972      2.2650000     -1.4083777      2.6484997     0.30661119      271.07163     0.45111036      13.587399      613.97725     -5272.0000
              1        3413437      2.2700000     -1.4305311      2.2000789     0.62471158      50.090014     0.62966392      11.336787      113.70433     -4824.0000
              1        3626268      2.2750000     -1.4201695      2.1519780     0.60551197      46.040537     0.60999192      11.137831      104.74222     -5156.0000
              1        3744085      2.2800000     -1.3929930      2.1071810     0.44399706      147.58369     0.50608883      10.953970      336.49081     -5292.0000
              1        3647927      2.2850000     -1.4049106      2.1804597     0.59834219      26.924775     0.59852358      11.384671      61.523111     -5060.0000
              1        3877031      2.2900000     -1.3857553      2.1418310     0.54394908      40.023390     0.54407353      11.231976      91.653564     -5144.0000
              1        4020593      2.2950000     -1.3747720      2.1826993     0.50012700      68.314064     0.51322794      11.496332      156.78078     -5088.0000
              1        4026323      2.3000000     -1.3638711      2.2723231     0.41935025      145.74961     0.48815414      12.020589      335.22410     -5112.0000
              1        3873169      2.3050000     -1.3466126      2.2053068     0.33071008      168.56239     0.42281714      11.716850      388.53630     -4948.0000
              1        4110474      2.3100000     -1.3436309      2.2904368     0.18262583      313.40577     0.44355039      12.222000      723.96734     -4500.0000
              1        4067591      2.3150000     -1.3397688      2.1733656     0.30970039      223.24376     0.45580872      11.647555      516.80931     -5240.0000
              1        4203985      2.3200000     -1.3235424      1.9029211     0.27945644      180.29974     0.40379483      10.242282      418.29541     -4784.0000
              1        4294026      2.3250000     -1.3134174      1.8835935    0.093931528      248.14148     0.36790219      10.182000      576.92894     -4856.0000
              1        4487008      2.3300000     -1.3020602      2.1686193     0.17696586      169.54729     0.31582097      11.773217      395.04519     -4492.0000
              1        4522996      2.3350000     -1.2945553      1.7521823    0.045966444      206.23750     0.32019606      9.5532920      481.56457     -4592.0000
              1        4482129      2.3400000     -1.2905433      1.9349659     0.31035656      73.006056     0.33150806      10.595099      170.83417     -4528.0000
              1        4571122      2.3450000     -1.2727287      1.7455631    0.085944806      116.16562     0.24174119      9.5988953      272.40839     -4484.0000
              1        4539766      2.3500000     -1.2713202      1.7928200    0.064493500      149.13318     0.26724878      9.9008484      350.46296     -4648.0000
              1        4622088      2.3550000     -1.2642683      1.7031436  -0.0063297778      137.73212     0.24222578      9.4456772      324.35914     -4416.0000
              1        4720165      2.3600000     -1.2553747      1.6586209    0.080266306      119.56499     0.24074269      9.2378551      282.17337     -4420.0000
              1        4734553      2.3650000     -1.2543928      1.6682737     0.12098364      117.31309     0.25457381      9.3310299      277.44546     -4576.0000
              1        4750426      2.3700000     -1.2447907      1.6795096    0.081689944      124.99004     0.24855433      9.4336374      296.22640     -4580.0000
              1        4815179      2.3750000     -1.2440073      1.6063227    0.021398306      137.65254     0.25212942      9.0606637      326.92478     -4996.0000
              1        4868515      2.3800000     -1.2321443      1.5783625    0.043204056      109.82513     0.22009372      8.9404764      261.38382     -4572.0000
              1        4942230      2.3850000     -1.2276856      1.5206954    0.074455389      100.65339     0.22225367      8.6500574      240.05833     -4552.0000
              1        4979600      2.3900000     -1.2186081      1.4832187    0.074557944      87.870756     0.20531556      8.4722936      210.01111     -4308.0000
              1        5030151      2.3950000     -1.2142909      1.4125279    0.082395806      79.044999     0.19723764      8.1022954      189.31277     -4676.0000
              1        5027936      2.4000000     -1.2098019      1.4504383    0.075673389      83.632407     0.20466583      8.3545243      200.71778     -4240.0000
