         cycles        counter    temperature          E avg       Heat cap          M avg      Magn susp      M avg abs     E variance     M variance              E
              1       19738303      2.0000000     -1.7456342     0.73760905     0.91133533     0.39136679     0.91133533      2.9504362     0.78273357     -17460.000
              1       20110587      2.0050000     -1.7418045     0.74082196     0.90954169     0.39834528     0.90954169      2.9781228     0.79868229     -17384.000
              1       20392389      2.0100000     -1.7386107     0.74449918     0.90817726     0.40959578     0.90817726      3.0078511     0.82328752     -17312.000
              1       20696429      2.0150000     -1.7343733     0.75785579     0.90609485     0.43190481     0.90609485      3.0770650     0.87028819     -17356.000
              1       21070555      2.0200000     -1.7306937     0.76160059     0.90444498     0.44109197     0.90444498      3.1076350     0.89100579     -17352.000
              1       21352444      2.0250000     -1.7271969     0.77916073     0.90288982     0.46637540     0.90288982      3.1950460     0.94441019     -17256.000
              1       21715146      2.0300000     -1.7229420     0.80268351     0.90065066     0.51376827     0.90065066      3.3077785      1.0429496     -17168.000
              1       22064686      2.0350000     -1.7190565     0.80459047     0.89896869     0.49761691     0.89896869      3.3319902      1.0126504     -17284.000
              1       22457529      2.0400000     -1.7152723     0.79512558     0.89708881     0.50772471     0.89708881      3.3089946      1.0357584     -17344.000
              1       22771036      2.0450000     -1.7109877     0.82789177     0.89480697     0.56983161     0.89480697      3.4622641      1.1653056     -17212.000
              1       23179783      2.0500000     -1.7065858     0.83704025     0.89253230     0.59757496     0.89253230      3.5176616      1.2250287     -17036.000
              1       23515928      2.0550000     -1.7026473     0.86571106     0.89057194     0.63549021     0.89057194      3.6559195      1.3059324     -17304.000
              1       23854642      2.0600000     -1.6986120     0.86784628     0.88857071     0.65763466     0.88857071      3.6827925      1.3547274     -16896.000
              1       24288571      2.0650000     -1.6939704     0.86952715     0.88624065     0.66929915     0.88624065      3.7078594      1.3821027     -17288.000
              1       24700085      2.0700000     -1.6895829     0.90037873     0.88400747     0.69422715     0.88400747      3.8580328      1.4370502     -16656.000
              1       24984385      2.0750000     -1.6852298     0.90045434     0.88156080     0.73397910     0.88156080      3.8770187      1.5230066     -16676.000
              1       25412882      2.0800000     -1.6808033     0.91354310     0.87920534     0.76926664     0.87920534      3.9523529      1.6000746     -16424.000
              1       25821655      2.0850000     -1.6766754     0.91381311     0.87704638     0.80118807     0.87704638      3.9725512      1.6704771     -16840.000
              1       26308677      2.0900000     -1.6711955     0.94619506     0.87373482     0.84765235     0.87373482      4.1330746      1.7715934     -16848.000
              1       26607086      2.0950000     -1.6667722     0.96284611     0.87141215     0.90743311     0.87141215      4.2259557      1.9010724     -16468.000
              1       27119489      2.1000000     -1.6623421     0.96985846     0.86926157     0.91815101     0.86926157      4.2770758      1.9281171     -16840.000
              1       27560193      2.1050000     -1.6572960     0.97162668     0.86603908     0.99481426     0.86603908      4.3053021      2.0940840     -16804.000
              1       27919352      2.1100000     -1.6523392     0.99384224     0.86288067      1.0870124     0.86288067      4.4246850      2.2935962     -16212.000
              1       28414472      2.1150000     -1.6470969      1.0289175     0.85959010      1.1732760     0.85959010      4.6025796      2.4814787     -16028.000
              1       28802033      2.1200000     -1.6424973      1.0262982     0.85733303      1.1988322     0.85733303      4.6125947      2.5415242     -16688.000
              1       29371439      2.1250000     -1.6367806      1.0624199     0.85344304      1.2806043     0.85344304      4.7974900      2.7212841     -16344.000
              1       29871190      2.1300000     -1.6318544      1.0758888     0.85034966      1.4042603     0.85034966      4.8811997      2.9910745     -16368.000
              1       30272811      2.1350000     -1.6267039      1.1118248     0.84685314      1.6391911     0.84685314      5.0679474      3.4996729     -16180.000
              1       30813171      2.1400000     -1.6206001      1.1400233     0.84285939      1.6517590     0.84285939      5.2208505      3.5347642     -16024.000
              1       31326292      2.1450000     -1.6162123      1.1328459     0.84041420      1.6738060     0.84041420      5.2122524      3.5903139     -16116.000
              1       31834117      2.1500000     -1.6101368      1.1456669     0.83647358      1.7943408     0.83647358      5.2958451      3.8578328     -15864.000
              1       32306044      2.1550000     -1.6039814      1.1792158     0.83201126      1.8820621     0.83201126      5.4763076      4.0558439     -16156.000
              1       32767191      2.1600000     -1.5981195      1.2072978     0.82736948      2.0911164     0.82736948      5.6327688      4.5168114     -15872.000
              1       33447820      2.1650000     -1.5916081      1.2270028     0.82280109      2.3267998     0.82280109      5.7512383      5.0375216     -15940.000
              1       34009730      2.1700000     -1.5857901      1.2494008     0.81774219      2.5550462     0.81774219      5.8833036      5.5444502     -16152.000
              1       34718981      2.1750000     -1.5797914      1.2333454     0.81418220      2.4155309     0.81418220      5.8344944      5.2537798     -15712.000
              1       35071063      2.1800000     -1.5742193      1.2765843     0.81031619      2.6731295     0.81031619      6.0668393      5.8274223     -15520.000
              1       35651243      2.1850000     -1.5671752      1.3362951     0.80314131      3.5676222     0.80314131      6.3797736      7.7952546     -15416.000
              1       36297496      2.1900000     -1.5601167      1.3460235     0.79671938      4.0669891     0.79671938      6.4556633      8.9067062     -15760.000
              1       37150311      2.1950000     -1.5527751      1.4445610     0.78889362      5.6969931     0.78889362      6.9599308      12.504900     -15640.000
              1       37463022      2.2000000     -1.5471771      1.4685183     0.78451384      5.5978309     0.78451384      7.1076285      12.315228     -15492.000
              1       38403538      2.2050000     -1.5391916      1.4472334     0.77724745      5.0563725     0.77724745      7.0364849      11.149301     -15076.000
              1       38744777      2.2100000     -1.5334635      1.4713929     0.77484555      4.7732659     0.77484555      7.1864299      10.548918     -15420.000
              1       39707925      2.2150000     -1.5243526      1.4935184     0.76280430      6.5423670     0.76280430      7.3275372      14.491343     -15556.000
              1       40371727      2.2200000     -1.5159307      1.6006748     0.75124662      9.2851982     0.75124662      7.8887658      20.613140     -15460.000
              1       41180338      2.2250000     -1.5092871      1.7004633     0.74525763      10.358779     0.74525763      8.4183561      23.048284     -14960.000
              1       41593779      2.2300000     -1.5023868      1.6769171     0.74046773      9.1770380     0.74046773      8.3391409      20.464795     -14924.000
              1       43190957      2.2350000     -1.4891797      1.9539058     0.70780127      28.957121     0.70780127      9.7601993      64.719165     -15340.000
              1       43673448      2.2400000     -1.4786559      1.9710765     0.69123420      25.717749     0.69123420      9.8900732      57.607757     -14928.000
              1       44819516      2.2450000     -1.4696876      2.5226604     0.66023729      102.76619     0.66116974      12.714271      230.71010     -15288.000
              1       45026643      2.2500000     -1.4662550      1.8896534     0.68848085      19.659902     0.68848085      9.5663701      44.234780     -14880.000
              1       46102013      2.2550000     -1.4528701      2.0952417     0.65550100      32.783141     0.65550100      10.654357      73.925983     -14752.000
              1       46946340      2.2600000     -1.4426785      2.3935260     0.62351533      84.084553     0.62355503      12.225173      190.03109     -14836.000
              1       48306393      2.2650000     -1.4333431      2.2032756     0.62411779      40.508061     0.62411779      11.303300      91.750758     -14480.000
