         cycles        counter    temperature          E avg       Heat cap          M avg      Magn susp      M avg abs     E variance     M variance              E
              1        2523968      2.0000000     -1.7465468     0.74617136     0.91178888     0.38653283     0.91178888      2.9846854     0.77306565     -11060.000
              1        2552869      2.0050000     -1.7427632     0.72621848     0.91038631     0.36354168     0.91038631      2.9194165     0.72890107     -10996.000
              1        2611907      2.0100000     -1.7385007     0.77960959     0.90795247     0.44681063     0.90795247      3.1497007     0.89808937     -11020.000
              1        2655370      2.0150000     -1.7348222     0.74836286     0.90651837     0.44274180     0.90651837      3.0385216     0.89212473     -11116.000
              1        2686541      2.0200000     -1.7309133     0.77469402     0.90449942     0.44465774     0.90449942      3.1610615     0.89820864     -11172.000
              1        2722281      2.0250000     -1.7275231     0.75555162     0.90299725     0.43765938     0.90299725      3.0982338     0.88626024     -11200.000
              1        2767305      2.0300000     -1.7235487     0.80814747     0.90122747     0.48037676     0.90122747      3.3302949     0.97516481     -10964.000
              1        2828794      2.0350000     -1.7195933     0.82888051     0.89926070     0.51702269     0.89926070      3.4325807      1.0521412     -10928.000
              1        2873828      2.0400000     -1.7152903     0.83443450     0.89691605     0.54386317     0.89691605      3.4725826      1.1094809     -10576.000
              1        2904242      2.0450000     -1.7119293     0.82422262     0.89551089     0.53570780     0.89551089      3.4469196      1.0955224     -11156.000
              1        3004237      2.0500000     -1.7053268     0.88660415     0.89061284     0.93236823     0.89061284      3.7259540      1.9113549     -11008.000
              1        3001540      2.0550000     -1.7026780     0.85774505     0.89128891     0.55655900     0.89128891      3.6222788      1.1437287     -10980.000
              1        3060221      2.0600000     -1.6986630     0.89719214     0.88879694     0.63626060     0.88879694      3.8073246      1.3106968     -10984.000
              1        3104305      2.0650000     -1.6945471     0.89482236     0.88665628     0.64457432     0.88665628      3.8157239      1.3310460     -10824.000
              1        3176135      2.0700000     -1.6889581     0.91783308     0.88337148     0.70979877     0.88337148      3.9328229      1.4692835     -10832.000
              1        3201468      2.0750000     -1.6855122     0.93304165     0.88201066     0.73668944     0.88201066      4.0173275      1.5286306     -10572.000
              1        3243863      2.0800000     -1.6816375     0.92266041     0.87973584     0.74650185     0.87973584      3.9917980      1.5527239     -10780.000
              1        3282992      2.0850000     -1.6776340     0.89102968     0.87817753     0.67419851     0.87817753      3.8735065      1.4057039     -10976.000
              1        3365288      2.0900000     -1.6719545     0.95312812     0.87436502     0.83599717     0.87436502      4.1633590      1.7472341     -10728.000
              1        3422533      2.0950000     -1.6663547      1.0343361     0.87012638      1.3627527     0.87012638      4.5397270      2.8549670     -10748.000
              1        3477528      2.1000000     -1.6616328      1.0343948     0.86834119      1.0287291     0.86834119      4.5616811      2.1603312     -10684.000
              1        3505433      2.1050000     -1.6578189     0.99805705     0.86656472     0.97203591     0.86656472      4.4224157      2.0461356     -10508.000
              1        3587594      2.1100000     -1.6503770      1.0786832     0.85967136      1.6472214     0.85967136      4.8024053      3.4756372     -10672.000
              1        3621654      2.1150000     -1.6476458      1.0244258     0.86027745      1.1122748     0.86027745      4.5824869      2.3524612     -10720.000
              1        3684434      2.1200000     -1.6421832      1.0678026     0.85595731      1.3281736     0.85595731      4.7991319      2.8157281     -10332.000
              1        3757416      2.1250000     -1.6364344      1.1137088     0.85216298      1.4650652     0.85216298      5.0290913      3.1132636     -10128.000
              1        3779158      2.1300000     -1.6319810      1.0309447     0.85064286      1.1832169     0.85064286      4.6772930      2.5202519     -10540.000
              1        3857957      2.1350000     -1.6273483      1.1203409     0.84792116      1.4689366     0.84792116      5.1067657      3.1361797     -10368.000
              1        3948602      2.1400000     -1.6212049      1.1003776     0.84326113      1.7204949     0.84326113      5.0392891      3.6818591     -10416.000
              1        4000584      2.1450000     -1.6149943      1.1257511     0.83827578      1.7856136     0.83827578      5.1796088      3.8301412     -10640.000
